data_set,algorithm,max_iterations,max_depth,total_cost,average_cost_gain,average_swapped_pairs,average_num_iterations
datasets/p_fabDS/trace_0_5.txt,mloga,30,1,1.60748e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,2,1.5748e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,3,1.60988e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,4,1.57595e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,5,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,6,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,7,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,8,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,9,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,10,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,11,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,12,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,13,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,14,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,15,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,16,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,17,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,18,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,19,1.60254e+07,0,0,0
datasets/p_fabDS/trace_0_5.txt,mloga,30,20,1.60254e+07,0,0,0
